SchemeId,District,Taluka,Name of Schemes,Region,Type (Gated/Ungated/FuseGate),Overflow Spillway Level (m),Full Reservoi Level (m),Gross Storage (MCM),Live Storage (MCM),Dead Storage (MCM)
193,Surendranagar,Chotila,Triveni Thanga,Sau,UG,202.8,208,3.23,2.95,0.28
188,Surendranagar,Chuda,Vansal,Sau,UG,98,100.7,3.97,3.33,0.64
185,Surendranagar,Dhrangadhra,Falku,Sau,FG,102.05,107,13.02,12.69,0.33
183,Surendranagar,Muli,Nyka,Sau,G,96.04,101.8,13.71,13.36,0.35
192,Surendranagar,Muli,Saburi,Sau,UG,123.7,129.5,4.5,3.95,0.55
190,Surendranagar,Sayla,Lim-Bhogavo-I,Sau,UG,39.93,46.02,22.43,21.9,0.53
186,Surendranagar,Sayla,Nimbmani,Sau,G,129.9,134.5,6.18,5.79,0.39
184,Surendranagar,Wadhwan,Dholidhaja,Sau,UG,74.37,80.47,20.39,18.69,1.7
187,Surendranagar,Wadhwan,Lim-Bhogavo-II,Sau,G,72.05,76,15.17,13,2.17
37,Tapi,Songadh,Doswada,SG,UG,114.6,123.44,3.43,3.33,0.1
36,Tapi,Songadh,Ukai,SG,G,78.77,105.156,7414.29,6729.9,684.39
42,Valsad,Kaprada,Damanganga,SG,G,59.46,79.86,524.86,478.09,46.77
